,key,population,aggregate,cum_diagnoses,cum_deaths,cum_recovered,cum_active,cum_tests,cum_hospitalized,hospitalized_current,cum_discharged,icu,icu_current,date,day,diagnoses,deaths,tests,hospitalized,discharged,recovered,active
400985,"Vorarlberg, Austria",388711.0,,1.0,,,,,,,,,,2020-03-06,0,1.0,,,,,,
400986,"Vorarlberg, Austria",388711.0,,1.0,,,,,,,,,,2020-03-07,1,0.0,,,,,,
400987,"Vorarlberg, Austria",388711.0,,1.0,,,,,,,,,,2020-03-08,2,0.0,,,,,,
400988,"Vorarlberg, Austria",388711.0,,3.0,,,,,,,,,,2020-03-09,3,2.0,,,,,,
400989,"Vorarlberg, Austria",388711.0,,11.0,,,,,,,,,,2020-03-10,4,8.0,,,,,,
400990,"Vorarlberg, Austria",388711.0,,13.0,,,,,,,,,,2020-03-11,5,2.0,,,,,,
400991,"Vorarlberg, Austria",388711.0,,16.0,,,,,,,,,,2020-03-12,6,3.0,,,,,,
400992,"Vorarlberg, Austria",388711.0,,22.0,,,,,,,,,,2020-03-13,7,6.0,,,,,,
400993,"Vorarlberg, Austria",388711.0,,34.0,,,,,,,,,,2020-03-14,8,12.0,,,,,,
400994,"Vorarlberg, Austria",388711.0,,48.0,,,,,,,,,,2020-03-15,9,14.0,,,,,,
400995,"Vorarlberg, Austria",388711.0,,55.0,,,,,,,,,,2020-03-16,10,7.0,,,,,,
400996,"Vorarlberg, Austria",388711.0,,99.0,,,,,,,,,,2020-03-17,11,44.0,,,,,,
400997,"Vorarlberg, Austria",388711.0,,124.0,,,,,,,,,,2020-03-18,12,25.0,,,,,,
400998,"Vorarlberg, Austria",388711.0,,151.0,,,,,,,,,,2020-03-19,13,27.0,,,,,,
400999,"Vorarlberg, Austria",388711.0,,197.0,,,,,,,,,,2020-03-20,14,46.0,,,,,,
401000,"Vorarlberg, Austria",388711.0,,228.0,,,,,,,,,,2020-03-21,15,31.0,,,,,,
401001,"Vorarlberg, Austria",388711.0,,263.0,,,,,,,,,,2020-03-22,16,35.0,,,,,,
401002,"Vorarlberg, Austria",388711.0,,323.0,,,,,,,,,,2020-03-23,17,60.0,,,,,,
401003,"Vorarlberg, Austria",388711.0,,379.0,,,,,,,,,,2020-03-24,18,56.0,,,,,,
401004,"Vorarlberg, Austria",388711.0,,407.0,,,,,,,,,,2020-03-25,19,28.0,,,,,,
401005,"Vorarlberg, Austria",388711.0,,435.0,,,,,,,,,,2020-03-26,20,28.0,,,,,,
401006,"Vorarlberg, Austria",388711.0,,535.0,,,,,,,,,,2020-03-27,21,100.0,,,,,,
401007,"Vorarlberg, Austria",388711.0,,577.0,,,,,,,,,,2020-03-28,22,42.0,,,,,,
401008,"Vorarlberg, Austria",388711.0,,610.0,,,,,,,,,,2020-03-29,23,33.0,,,,,,
401009,"Vorarlberg, Austria",388711.0,,632.0,,,,,,,,,,2020-03-30,24,22.0,,,,,,
401010,"Vorarlberg, Austria",388711.0,,666.0,,,,,,,,,,2020-03-31,25,34.0,,,,,,
401011,"Vorarlberg, Austria",388711.0,,680.0,,,,,,,,,,2020-04-01,26,14.0,,,,,,
401012,"Vorarlberg, Austria",388711.0,,697.0,,,,,,,,,,2020-04-02,27,17.0,,,,,,
401013,"Vorarlberg, Austria",388711.0,,718.0,,,,,,,,,,2020-04-03,28,21.0,,,,,,
401014,"Vorarlberg, Austria",388711.0,,722.0,,,,,,,,,,2020-04-04,29,4.0,,,,,,
401015,"Vorarlberg, Austria",388711.0,,746.0,,,,,,,,,,2020-04-05,30,24.0,,,,,,
401016,"Vorarlberg, Austria",388711.0,,764.0,,,,,,,,,,2020-04-06,31,18.0,,,,,,
401017,"Vorarlberg, Austria",388711.0,,791.0,,,,,,,,,,2020-04-07,32,27.0,,,,,,
401018,"Vorarlberg, Austria",388711.0,,797.0,,,,,,,,,,2020-04-08,33,6.0,,,,,,
401019,"Vorarlberg, Austria",388711.0,,805.0,,,,,,,,,,2020-04-09,34,8.0,,,,,,
401020,"Vorarlberg, Austria",388711.0,,820.0,,,,,,,,,,2020-04-10,35,15.0,,,,,,
401021,"Vorarlberg, Austria",388711.0,,826.0,,,,,,,,,,2020-04-11,36,6.0,,,,,,
401022,"Vorarlberg, Austria",388711.0,,831.0,,,,,,,,,,2020-04-12,37,5.0,,,,,,
401023,"Vorarlberg, Austria",388711.0,,832.0,,,,,,,,,,2020-04-13,38,1.0,,,,,,
401024,"Vorarlberg, Austria",388711.0,,832.0,,,,,,,,,,2020-04-14,39,0.0,,,,,,
401025,"Vorarlberg, Austria",388711.0,,851.0,7.0,646.0,198.0,,,,,,,2020-04-15,40,19.0,7.0,,,,646.0,198.0
401026,"Vorarlberg, Austria",388711.0,,853.0,8.0,654.0,191.0,,,,,,,2020-04-16,41,2.0,1.0,,,,8.0,-7.0
401027,"Vorarlberg, Austria",388711.0,,855.0,8.0,665.0,182.0,,,,,,,2020-04-17,42,2.0,0.0,,,,11.0,-9.0
401028,"Vorarlberg, Austria",388711.0,,857.0,10.0,668.0,179.0,,,,,,,2020-04-18,43,2.0,2.0,,,,3.0,-3.0
401029,"Vorarlberg, Austria",388711.0,,858.0,10.0,715.0,133.0,,,,,,,2020-04-19,44,1.0,0.0,,,,47.0,-46.0
401030,"Vorarlberg, Austria",388711.0,,861.0,13.0,731.0,117.0,,,,,,,2020-04-20,45,3.0,3.0,,,,16.0,-16.0
401031,"Vorarlberg, Austria",388711.0,,863.0,13.0,733.0,117.0,,,,,,,2020-04-21,46,2.0,0.0,,,,2.0,0.0
401032,"Vorarlberg, Austria",388711.0,,868.0,14.0,740.0,114.0,,,,,,,2020-04-22,47,5.0,1.0,,,,7.0,-3.0
401033,"Vorarlberg, Austria",388711.0,,869.0,14.0,745.0,110.0,,,,,,,2020-04-23,48,1.0,0.0,,,,5.0,-4.0
401034,"Vorarlberg, Austria",388711.0,,868.0,14.0,749.0,105.0,,,,,,,2020-04-24,49,-1.0,0.0,,,,4.0,-5.0
401035,"Vorarlberg, Austria",388711.0,,868.0,14.0,755.0,99.0,,,,,,,2020-04-25,50,0.0,0.0,,,,6.0,-6.0
401036,"Vorarlberg, Austria",388711.0,,868.0,15.0,757.0,96.0,,,,,,,2020-04-26,51,0.0,1.0,,,,2.0,-3.0
401037,"Vorarlberg, Austria",388711.0,,868.0,15.0,759.0,94.0,,,,,,,2020-04-27,52,0.0,0.0,,,,2.0,-2.0
401038,"Vorarlberg, Austria",388711.0,,869.0,15.0,779.0,75.0,,,,,,,2020-04-28,53,1.0,0.0,,,,20.0,-19.0
401039,"Vorarlberg, Austria",388711.0,,870.0,16.0,786.0,68.0,,,,,,,2020-04-29,54,1.0,1.0,,,,7.0,-7.0
401040,"Vorarlberg, Austria",388711.0,,871.0,17.0,795.0,59.0,,,,,,,2020-04-30,55,1.0,1.0,,,,9.0,-9.0
401041,"Vorarlberg, Austria",388711.0,,872.0,17.0,811.0,44.0,,,,,,,2020-05-01,56,1.0,0.0,,,,16.0,-15.0
401042,"Vorarlberg, Austria",388711.0,,873.0,17.0,819.0,37.0,,,,,,,2020-05-02,57,1.0,0.0,,,,8.0,-7.0
401043,"Vorarlberg, Austria",388711.0,,873.0,17.0,824.0,32.0,,,,,,,2020-05-03,58,0.0,0.0,,,,5.0,-5.0
401044,"Vorarlberg, Austria",388711.0,,874.0,17.0,824.0,33.0,,,,,,,2020-05-04,59,1.0,0.0,,,,0.0,1.0
401045,"Vorarlberg, Austria",388711.0,,875.0,18.0,828.0,29.0,,,,,,,2020-05-05,60,1.0,1.0,,,,4.0,-4.0
401046,"Vorarlberg, Austria",388711.0,,875.0,18.0,833.0,24.0,,,,,,,2020-05-07,62,0.0,0.0,,,,5.0,-5.0
401047,"Vorarlberg, Austria",388711.0,,876.0,18.0,835.0,23.0,,,,,,,2020-05-08,63,1.0,0.0,,,,2.0,-1.0
401048,"Vorarlberg, Austria",388711.0,,876.0,18.0,838.0,20.0,,,,,,,2020-05-09,64,0.0,0.0,,,,3.0,-3.0
401049,"Vorarlberg, Austria",388711.0,,879.0,18.0,839.0,22.0,,,,,,,2020-05-11,66,3.0,0.0,,,,1.0,2.0
401050,"Vorarlberg, Austria",388711.0,,881.0,18.0,843.0,20.0,,,,,,,2020-05-12,67,2.0,0.0,,,,4.0,-2.0
401051,"Vorarlberg, Austria",388711.0,,882.0,18.0,847.0,17.0,,,,,,,2020-05-13,68,1.0,0.0,,,,4.0,-3.0
401052,"Vorarlberg, Austria",388711.0,,883.0,18.0,856.0,9.0,,,,,,,2020-05-14,69,1.0,0.0,,,,9.0,-8.0
401053,"Vorarlberg, Austria",388711.0,,884.0,18.0,856.0,10.0,,,,,,,2020-05-15,70,1.0,0.0,,,,0.0,1.0
401054,"Vorarlberg, Austria",388711.0,,885.0,18.0,856.0,11.0,,,,,,,2020-05-16,71,1.0,0.0,,,,0.0,1.0
401055,"Vorarlberg, Austria",388711.0,,887.0,18.0,856.0,13.0,,,,,,,2020-05-17,72,2.0,0.0,,,,0.0,2.0
401056,"Vorarlberg, Austria",388711.0,,887.0,18.0,856.0,13.0,,,,,,,2020-05-18,73,0.0,0.0,,,,0.0,0.0
401057,"Vorarlberg, Austria",388711.0,,893.0,18.0,859.0,16.0,,,,,,,2020-05-19,74,6.0,0.0,,,,3.0,3.0
401058,"Vorarlberg, Austria",388711.0,,894.0,18.0,861.0,15.0,,,,,,,2020-05-20,75,1.0,0.0,,,,2.0,-1.0
401059,"Vorarlberg, Austria",388711.0,,895.0,18.0,862.0,15.0,,,,,,,2020-05-21,76,1.0,0.0,,,,1.0,0.0
401060,"Vorarlberg, Austria",388711.0,,896.0,18.0,862.0,16.0,,,,,,,2020-05-22,77,1.0,0.0,,,,0.0,1.0
401061,"Vorarlberg, Austria",388711.0,,896.0,18.0,864.0,14.0,,,,,,,2020-05-23,78,0.0,0.0,,,,2.0,-2.0
401062,"Vorarlberg, Austria",388711.0,,896.0,18.0,864.0,14.0,,,,,,,2020-05-24,79,0.0,0.0,,,,0.0,0.0
401063,"Vorarlberg, Austria",388711.0,,898.0,18.0,864.0,16.0,,,,,,,2020-05-25,80,2.0,0.0,,,,0.0,2.0
401064,"Vorarlberg, Austria",388711.0,,898.0,18.0,863.0,17.0,,,,,,,2020-05-27,82,0.0,0.0,,,,-1.0,1.0
401065,"Vorarlberg, Austria",388711.0,,898.0,18.0,866.0,14.0,,,,,,,2020-05-28,83,0.0,0.0,,,,3.0,-3.0
401066,"Vorarlberg, Austria",388711.0,,898.0,18.0,866.0,14.0,,,,,,,2020-05-30,85,0.0,0.0,,,,0.0,0.0
401067,"Vorarlberg, Austria",388711.0,,899.0,18.0,866.0,15.0,,,,,,,2020-06-01,87,1.0,0.0,,,,0.0,1.0
401068,"Vorarlberg, Austria",388711.0,,900.0,18.0,867.0,15.0,,,,,,,2020-06-02,88,1.0,0.0,,,,1.0,0.0
401069,"Vorarlberg, Austria",388711.0,,901.0,18.0,867.0,16.0,,,,,,,2020-06-03,89,1.0,0.0,,,,0.0,1.0
401070,"Vorarlberg, Austria",388711.0,,901.0,18.0,869.0,14.0,,,,,,,2020-06-04,90,0.0,0.0,,,,2.0,-2.0
401071,"Vorarlberg, Austria",388711.0,,904.0,18.0,867.0,19.0,,,,,,,2020-06-05,91,3.0,0.0,,,,-2.0,5.0
401072,"Vorarlberg, Austria",388711.0,,904.0,18.0,876.0,10.0,,,,,,,2020-06-06,92,0.0,0.0,,,,9.0,-9.0
401073,"Vorarlberg, Austria",388711.0,,905.0,18.0,876.0,11.0,,,,,,,2020-06-07,93,1.0,0.0,,,,0.0,1.0
401074,"Vorarlberg, Austria",388711.0,,907.0,18.0,876.0,13.0,,,,,,,2020-06-09,95,2.0,0.0,,,,0.0,2.0
401075,"Vorarlberg, Austria",388711.0,,907.0,18.0,878.0,11.0,,,,,,,2020-06-10,96,0.0,0.0,,,,2.0,-2.0
401076,"Vorarlberg, Austria",388711.0,,907.0,18.0,878.0,11.0,,,,,,,2020-06-11,97,0.0,0.0,,,,0.0,0.0
401077,"Vorarlberg, Austria",388711.0,,907.0,18.0,880.0,9.0,,,,,,,2020-06-12,98,0.0,0.0,,,,2.0,-2.0
401078,"Vorarlberg, Austria",388711.0,,907.0,18.0,881.0,8.0,,,,,,,2020-06-13,99,0.0,0.0,,,,1.0,-1.0
401079,"Vorarlberg, Austria",388711.0,,907.0,18.0,881.0,8.0,,,,,,,2020-06-14,100,0.0,0.0,,,,0.0,0.0
401080,"Vorarlberg, Austria",388711.0,,907.0,18.0,882.0,7.0,,,,,,,2020-06-15,101,0.0,0.0,,,,1.0,-1.0
401081,"Vorarlberg, Austria",388711.0,,906.0,18.0,882.0,6.0,,,,,,,2020-06-17,103,-1.0,0.0,,,,0.0,-1.0
401082,"Vorarlberg, Austria",388711.0,,907.0,18.0,888.0,1.0,,,,,,,2020-06-18,104,1.0,0.0,,,,6.0,-5.0
401083,"Vorarlberg, Austria",388711.0,,907.0,18.0,888.0,1.0,,,,,,,2020-06-19,105,0.0,0.0,,,,0.0,0.0
401084,"Vorarlberg, Austria",388711.0,,907.0,18.0,889.0,,,,,,,,2020-06-20,106,0.0,0.0,,,,1.0,
401085,"Vorarlberg, Austria",388711.0,,907.0,18.0,889.0,,,,,,,,2020-06-21,107,0.0,0.0,,,,0.0,
401086,"Vorarlberg, Austria",388711.0,,907.0,18.0,889.0,,,,,,,,2020-06-22,108,0.0,0.0,,,,0.0,
401087,"Vorarlberg, Austria",388711.0,,907.0,18.0,889.0,,,,,,,,2020-06-23,109,0.0,0.0,,,,0.0,
401088,"Vorarlberg, Austria",388711.0,,908.0,18.0,889.0,1.0,,,,,,,2020-06-24,110,1.0,0.0,,,,0.0,1.0
401089,"Vorarlberg, Austria",388711.0,,908.0,18.0,890.0,,,,,,,,2020-06-25,111,0.0,0.0,,,,1.0,
401090,"Vorarlberg, Austria",388711.0,,910.0,18.0,890.0,2.0,,,,,,,2020-06-26,112,2.0,0.0,,,,0.0,2.0
401091,"Vorarlberg, Austria",388711.0,,910.0,18.0,891.0,1.0,,,,,,,2020-07-01,117,0.0,0.0,,,,1.0,-1.0
